Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,AGEP_priv,AGEP_dis,SEX&RAC1P&AGEP_priv,SEX&RAC1P&AGEP_dis,Model_Seed,Model_Name
Mean,0.5305245,0.5049356002060794,0.5546469159786305,0.5169893733968488,0.55958615263572,0.25099818511796734,0.5751806320672659,0.16631284916201122,0.6088194444444445,103,KNeighborsClassifier
Std,0.067788458546511,0.06183074595981274,0.0734047383574781,0.06845412043341471,0.06635919710720317,0.07773292254804487,0.06619976626908415,0.06321100820050977,0.06791747012089006,103,KNeighborsClassifier
IQR,0.0859,0.07808346213292118,0.09326857697911609,0.08666178087211433,0.08426435877261998,0.09887477313974592,0.08382719628877935,0.08134078212290503,0.08598958333333334,103,KNeighborsClassifier
Entropy,0.0,0.0,0.15192445409159283,0.12811524309291253,0.0,0.0,0.0,0.0,0.1455339850694942,103,KNeighborsClassifier
Jitter,0.08466447368421053,0.0661135063315166,0.10215229672043145,0.08604462787602941,0.08170110563584411,0.055258381889387725,0.0893622865514032,0.02819758894442816,0.09801717836257313,103,KNeighborsClassifier
Per_Sample_Accuracy,0.7974874999999999,0.825399278722308,0.7711753278290433,0.7918468303407841,0.8095987411487018,0.7957350272232304,0.7977674688315454,0.8773743016759777,0.8087673611111111,103,KNeighborsClassifier
Label_Stability,0.886325,0.9120041215868109,0.8621175327829043,0.8845364602418468,0.8901652242328876,0.9312159709618876,0.8791533777906639,0.9659217877094972,0.8675347222222222,103,KNeighborsClassifier
TPR,0.8768361581920904,0.9023051591657519,0.8498253783469151,0.8677884615384616,0.8984674329501916,0.9710843373493976,0.847970479704797,0.9802631578947368,0.8490566037735849,103,KNeighborsClassifier
TNR,0.7515695067264574,0.7718446601941747,0.7341666666666666,0.7420661715057394,0.7703604806408545,0.27941176470588236,0.7822349570200573,0.25925925925925924,0.8076923076923077,103,KNeighborsClassifier
PPV,0.7369420702754036,0.7776726584673604,0.6959008579599618,0.7392491467576792,0.7316692667706708,0.8043912175648703,0.7158878504672898,0.8816568047337278,0.72,103,KNeighborsClassifier
FNR,0.12316384180790961,0.09769484083424808,0.15017462165308498,0.13221153846153846,0.10153256704980843,0.02891566265060241,0.15202952029520295,0.019736842105263157,0.1509433962264151,103,KNeighborsClassifier
FPR,0.2484304932735426,0.22815533980582525,0.2658333333333333,0.2579338284942606,0.22963951935914553,0.7205882352941176,0.2177650429799427,0.7407407407407407,0.19230769230769232,103,KNeighborsClassifier
Accuracy,0.807,0.8330757341576507,0.7824186498300145,0.7995602784902894,0.8229740361919748,0.8003629764065335,0.8080603073354595,0.8715083798882681,0.8229166666666666,103,KNeighborsClassifier
F1,0.8008255933952528,0.8353658536585366,0.7651991614255765,0.7983781791374862,0.8065348237317282,0.8799126637554585,0.7763513513513514,0.9283489096573209,0.7792207792207793,103,KNeighborsClassifier
Selection-Rate,0.5265,0.5445646573930963,0.509470616804274,0.5368266764382558,0.5043273013375295,0.9092558983666061,0.4653522760220354,0.9441340782122905,0.4340277777777778,103,KNeighborsClassifier
Positive-Rate,1.1898305084745762,1.1602634467618003,1.221187427240978,1.173878205128205,1.2279693486590038,1.2072289156626506,1.1845018450184501,1.111842105263158,1.179245283018868,103,KNeighborsClassifier
