Metric,overall,sex_priv,sex_dis,age_priv,age_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name
Mean,0.528257558850109,0.6030183115804328,0.5102482118351662,0.46410039727635216,0.5316477179362596,0.5825585939104035,0.489167888660125,0.6320902196771342,0.47295681484324353,120,DecisionTreeClassifier
Std,0.09397335755027544,0.1096359752700603,0.09020034153082082,0.07989183276692872,0.09471744609814921,0.09689044182053376,0.09187343695181587,0.11269988807076757,0.0890435867810957,120,DecisionTreeClassifier
IQR,0.11744565083651887,0.14169197084147694,0.11160488044754543,0.1021045350674516,0.11825629803069693,0.12075029865156685,0.11506673498268957,0.14437948104273002,0.1104357330084733,120,DecisionTreeClassifier
Entropy,0.0,0.0,0.0,0.0,0.25257422498100146,0.25611583561274254,0.0,0.0,0.0,120,DecisionTreeClassifier
Jitter,0.15941727884909737,0.18352007883715127,0.1536110814371676,0.1728378120830941,0.15870811807003188,0.16313954019836419,0.15673773566281757,0.18775949975950113,0.15239319262665674,120,DecisionTreeClassifier
Per_Sample_Accuracy,0.6679924242424243,0.6934146341463413,0.6618683901292597,0.6566037735849057,0.6685942173479561,0.6701131221719457,0.6664657980456027,0.684,0.6592996108949416,120,DecisionTreeClassifier
Label_Stability,0.7785227272727273,0.7403902439024389,0.7877085781433607,0.7154716981132075,0.7818544366899303,0.7716289592760183,0.7834853420195439,0.7287619047619047,0.7894941634241245,120,DecisionTreeClassifier
TPR,0.6070686070686071,0.44,0.6379310344827587,0.5483870967741935,0.6111111111111112,0.48484848484848486,0.6708860759493671,0.34285714285714286,0.6920289855072463,120,DecisionTreeClassifier
TNR,0.7391304347826086,0.8384615384615385,0.7101123595505618,0.7727272727272727,0.7377938517179023,0.8014440433212996,0.6812080536912751,0.8857142857142857,0.6554621848739496,120,DecisionTreeClassifier
PPV,0.6606334841628959,0.6111111111111112,0.6675257731958762,0.7727272727272727,0.6547619047619048,0.5925925925925926,0.6905537459283387,0.6,0.6996336996336996,120,DecisionTreeClassifier
FNR,0.39293139293139295,0.56,0.3620689655172414,0.45161290322580644,0.3888888888888889,0.5151515151515151,0.3291139240506329,0.6571428571428571,0.3079710144927536,120,DecisionTreeClassifier
FPR,0.2608695652173913,0.16153846153846155,0.2898876404494382,0.22727272727272727,0.26220614828209765,0.19855595667870035,0.3187919463087248,0.11428571428571428,0.3445378151260504,120,DecisionTreeClassifier
Accuracy,0.6789772727272727,0.6926829268292682,0.6756756756756757,0.6415094339622641,0.6809571286141576,0.6832579185520362,0.6758957654723127,0.7047619047619048,0.6750972762645915,120,DecisionTreeClassifier
F1,0.6327193932827736,0.5116279069767442,0.6523929471032746,0.6415094339622641,0.632183908045977,0.5333333333333333,0.680577849117175,0.43636363636363634,0.6958105646630237,120,DecisionTreeClassifier
Selection-Rate,0.4185606060606061,0.2634146341463415,0.45593419506462984,0.41509433962264153,0.4187437686939183,0.3054298642533937,0.5,0.19047619047619047,0.5311284046692607,120,DecisionTreeClassifier
Positive-Rate,0.918918918918919,0.72,0.9556650246305419,0.7096774193548387,0.9333333333333333,0.8181818181818182,0.9715189873417721,0.5714285714285714,0.9891304347826086,120,DecisionTreeClassifier
